database	description	size	overlap	expect	enrichmentRatio	pValue	FDR
geneontology_Biological_Process	acid secretion	110	8	1.04	7.66	1.01e-05	0.000443
geneontology_Biological_Process	developmental growth involved in morphogenesis	225	11	2.14	5.15	1.05e-05	0.000457
geneontology_Biological_Process	visual behavior	53	6	0.503	11.9	1.07e-05	0.000463
geneontology_Biological_Process	cell-cell adhesion via plasma-membrane adhesion molecules	270	12	2.56	4.68	1.09e-05	0.00047
geneontology_Biological_Process	hippocampus development	81	7	0.769	9.1	1.19e-05	0.00051
geneontology_Biological_Process	long-term memory	32	5	0.304	16.5	1.19e-05	0.00051
geneontology_Biological_Process	protein transport within lipid bilayer	32	5	0.304	16.5	1.19e-05	0.00051
geneontology_Biological_Process	dendrite extension	32	5	0.304	16.5	1.19e-05	0.00051
geneontology_Biological_Process	hindbrain development	149	9	1.41	6.36	1.28e-05	0.000545
geneontology_Biological_Process	retrograde axonal transport	16	4	0.152	26.3	1.31e-05	0.000555
geneontology_Biological_Process	neuronal action potential	34	5	0.323	15.5	1.62e-05	0.000683
geneontology_Biological_Process	membrane depolarization	85	7	0.807	8.67	1.64e-05	0.000686
geneontology_Biological_Process	positive regulation of neurological system process	58	6	0.551	10.9	1.81e-05	0.000755
geneontology_Biological_Process	glial cell differentiation	196	10	1.86	5.37	1.85e-05	0.000768
geneontology_Biological_Process	vocalization behavior	18	4	0.171	23.4	2.17e-05	0.000896
geneontology_Biological_Process	response to amyloid-beta	37	5	0.351	14.2	2.49e-05	0.00102
geneontology_Biological_Process	divalent metal ion transport	448	15	4.25	3.53	2.55e-05	0.00104
geneontology_Biological_Process	divalent inorganic cation transport	451	15	4.28	3.5	2.76e-05	0.00112
geneontology_Biological_Process	telencephalon development	250	11	2.37	4.63	2.79e-05	0.00113
geneontology_Biological_Process	synaptic vesicle recycling	63	6	0.598	10	2.92e-05	0.00117
geneontology_Biological_Process	calcium ion transport	402	14	3.82	3.67	3.12e-05	0.00125
geneontology_Biological_Process	positive regulation of dendrite extension	20	4	0.19	21.1	3.38e-05	0.00133
geneontology_Biological_Process	pallium development	169	9	1.6	5.61	3.48e-05	0.00137
geneontology_Biological_Process	L-amino acid transport	65	6	0.617	9.72	3.5e-05	0.00137
geneontology_Biological_Process	cellular response to ammonium ion	66	6	0.627	9.57	3.82e-05	0.00148
geneontology_Biological_Process	vesicle docking	66	6	0.627	9.57	3.82e-05	0.00148
geneontology_Biological_Process	cerebellum development	98	7	0.93	7.52	4.14e-05	0.00159
geneontology_Biological_Process	glial cell development	98	7	0.93	7.52	4.14e-05	0.00159
geneontology_Biological_Process	presynapse assembly	41	5	0.389	12.8	4.14e-05	0.00159
geneontology_Biological_Process	excitatory postsynaptic potential	99	7	0.94	7.45	4.42e-05	0.00169
geneontology_Biological_Process	negative regulation of synaptic transmission	68	6	0.646	9.29	4.53e-05	0.00173
geneontology_Biological_Process	gliogenesis	265	11	2.52	4.37	4.75e-05	0.00181
geneontology_Biological_Process	dendrite development	219	10	2.08	4.81	4.76e-05	0.00181
geneontology_Biological_Process	dendrite morphogenesis	137	8	1.3	6.15	4.98e-05	0.00188
geneontology_Biological_Process	inorganic anion transport	177	9	1.68	5.36	5e-05	0.00188
geneontology_Biological_Process	regulation of dendrite extension	22	4	0.209	19.1	5.03e-05	0.00188
geneontology_Biological_Process	regulation of intracellular transport	422	14	4.01	3.49	5.28e-05	0.00197
geneontology_Biological_Process	astrocyte differentiation	70	6	0.665	9.03	5.34e-05	0.00198
geneontology_Biological_Process	central nervous system neuron differentiation	179	9	1.7	5.3	5.45e-05	0.00201
geneontology_Biological_Process	neuron apoptotic process	224	10	2.13	4.7	5.76e-05	0.00212
geneontology_Biological_Process	anterograde axonal transport	44	5	0.418	12	5.87e-05	0.00216
geneontology_Biological_Process	L-glutamate transmembrane transport	23	4	0.218	18.3	6.04e-05	0.00221
geneontology_Biological_Process	receptor metabolic process	183	9	1.74	5.18	6.47e-05	0.00235
geneontology_Biological_Process	regulation of ion transmembrane transporter activity	228	10	2.16	4.62	6.67e-05	0.00241
geneontology_Biological_Process	synapse maturation	24	4	0.228	17.6	7.2e-05	0.00258
geneontology_Biological_Process	neuromuscular process	107	7	1.02	6.89	7.26e-05	0.00259
geneontology_Biological_Process	chemical synaptic transmission, postsynaptic	107	7	1.02	6.89	7.26e-05	0.00259
geneontology_Biological_Process	limbic system development	108	7	1.03	6.83	7.7e-05	0.00273
geneontology_Biological_Process	regulation of AMPA receptor activity	25	4	0.237	16.9	8.5e-05	0.00299
geneontology_Biological_Process	regulation of transmembrane transporter activity	235	10	2.23	4.48	8.58e-05	0.00301
geneontology_Biological_Process	visual learning	48	5	0.456	11	8.98e-05	0.00314
geneontology_Biological_Process	organelle transport along microtubule	77	6	0.731	8.21	9.14e-05	0.00319
geneontology_Biological_Process	regulation of postsynaptic cytosolic calcium ion concentration	10	3	0.0949	31.6	9.62e-05	0.00332
geneontology_Biological_Process	regulation of cation channel activity	151	8	1.43	5.58	9.89e-05	0.0034
geneontology_Biological_Process	negative regulation of neuron death	196	9	1.86	4.84	0.00011	0.00375
geneontology_Biological_Process	calcium ion transmembrane transport	292	11	2.77	3.97	0.000113	0.00384
geneontology_Biological_Process	regulation of neuron apoptotic process	197	9	1.87	4.81	0.000114	0.00386
geneontology_Biological_Process	organic anion transport	454	14	4.31	3.25	0.000115	0.00388
geneontology_Biological_Process	amino acid import	27	4	0.256	15.6	0.000116	0.00391
geneontology_Biological_Process	synaptic vesicle endocytosis	51	5	0.484	10.3	0.00012	0.00402
geneontology_Biological_Process	presynaptic endocytosis	51	5	0.484	10.3	0.00012	0.00402
geneontology_Biological_Process	positive regulation of axonogenesis	81	6	0.769	7.8	0.000121	0.00402
geneontology_Biological_Process	regulation of transporter activity	247	10	2.35	4.26	0.000129	0.00426
geneontology_Biological_Process	response to histamine	11	3	0.104	28.7	0.000131	0.00429
geneontology_Biological_Process	secretory granule localization	11	3	0.104	28.7	0.000131	0.00429
geneontology_Biological_Process	axonal transport	53	5	0.503	9.94	0.000145	0.00469
geneontology_Biological_Process	amino acid transmembrane transport	84	6	0.798	7.52	0.000148	0.00478
geneontology_Biological_Process	exocytic process	84	6	0.798	7.52	0.000148	0.00478
geneontology_Biological_Process	long-term synaptic depression	29	4	0.275	14.5	0.000155	0.00499
geneontology_Biological_Process	social behavior	54	5	0.513	9.75	0.000158	0.00507
geneontology_Biological_Process	intraspecies interaction between organisms	54	5	0.513	9.75	0.000158	0.00507
geneontology_Biological_Process	trans-synaptic signaling, modulating synaptic transmission	12	3	0.114	26.3	0.000174	0.0055
geneontology_Biological_Process	negative regulation of microtubule polymerization	12	3	0.114	26.3	0.000174	0.0055
geneontology_Biological_Process	positive regulation of ion transport	258	10	2.45	4.08	0.000184	0.00581
geneontology_Biological_Process	positive regulation of synaptic transmission, glutamatergic	31	4	0.294	13.6	0.000202	0.0063
geneontology_Biological_Process	cellular response to amyloid-beta	31	4	0.294	13.6	0.000202	0.0063
geneontology_Biological_Process	vesicle fusion	89	6	0.845	7.1	0.000204	0.00631
geneontology_Biological_Process	sodium ion transport	213	9	2.02	4.45	0.000205	0.00631
geneontology_Biological_Process	cytoskeleton-dependent intracellular transport	170	8	1.61	4.96	0.000224	0.00682
geneontology_Biological_Process	regulation of long-term synaptic depression	13	3	0.123	24.3	0.000224	0.00682
geneontology_Biological_Process	cerebellar granular layer development	13	3	0.123	24.3	0.000224	0.00682
geneontology_Biological_Process	regulation of cell projection size	13	3	0.123	24.3	0.000224	0.00682
geneontology_Biological_Process	regulation of amino acid transport	33	4	0.313	12.8	0.000259	0.00778
geneontology_Biological_Process	astrocyte development	33	4	0.313	12.8	0.000259	0.00778
geneontology_Biological_Process	regulation of catecholamine secretion	61	5	0.579	8.63	0.000282	0.00839
geneontology_Biological_Process	L-glutamate import	14	3	0.133	22.6	0.000284	0.00839
geneontology_Biological_Process	organelle membrane fusion	95	6	0.902	6.65	0.000291	0.00857
geneontology_Biological_Process	regulation of postsynapse organization	96	6	0.911	6.58	0.000308	0.00901
geneontology_Biological_Process	positive regulation of amine transport	35	4	0.332	12	0.000327	0.00952
geneontology_Biological_Process	catecholamine secretion	63	5	0.598	8.36	0.000328	0.00955
geneontology_Biological_Process	prepulse inhibition	15	3	0.142	21.1	0.000352	0.0101
geneontology_Biological_Process	maintenance of synapse structure	15	3	0.142	21.1	0.000352	0.0101
geneontology_Biological_Process	neuron cell-cell adhesion	15	3	0.142	21.1	0.000352	0.0101
geneontology_Biological_Process	protein transport along microtubule	15	3	0.142	21.1	0.000352	0.0101
geneontology_Biological_Process	microtubule-based protein transport	15	3	0.142	21.1	0.000352	0.0101
geneontology_Biological_Process	synaptic vesicle clustering	15	3	0.142	21.1	0.000352	0.0101
geneontology_Biological_Process	axo-dendritic transport	64	5	0.608	8.23	0.000354	0.0101
geneontology_Biological_Process	protein-containing complex localization	280	10	2.66	3.76	0.000354	0.0101
geneontology_Biological_Process	membrane depolarization during action potential	36	4	0.342	11.7	0.000365	0.0104
geneontology_Biological_Process	sodium ion transmembrane transport	140	7	1.33	5.27	0.000385	0.0109
geneontology_Biological_Process	cellular response to metal ion	185	8	1.76	4.55	0.000396	0.0112
geneontology_Biological_Process	neurotransmitter receptor transport to plasma membrane	16	3	0.152	19.7	0.00043	0.012
geneontology_Biological_Process	neurotransmitter receptor transport to postsynaptic membrane	16	3	0.152	19.7	0.00043	0.012
geneontology_Biological_Process	receptor-mediated endocytosis	287	10	2.72	3.67	0.00043	0.012
geneontology_Biological_Process	cardiac conduction	105	6	0.997	6.02	0.000498	0.0137
geneontology_Biological_Process	modulation of excitatory postsynaptic potential	39	4	0.37	10.8	0.000499	0.0137
geneontology_Biological_Process	multi-organism behavior	69	5	0.655	7.63	0.000502	0.0138
geneontology_Biological_Process	central nervous system myelination	17	3	0.161	18.6	0.000519	0.0141
geneontology_Biological_Process	axon ensheathment in central nervous system	17	3	0.161	18.6	0.000519	0.0141
geneontology_Biological_Process	establishment of protein localization to postsynaptic membrane	17	3	0.161	18.6	0.000519	0.0141
geneontology_Biological_Process	dopamine secretion	40	4	0.38	10.5	0.00055	0.0148
geneontology_Biological_Process	regulation of dopamine secretion	40	4	0.38	10.5	0.00055	0.0148
geneontology_Biological_Process	negative regulation of nervous system development	297	10	2.82	3.55	0.000562	0.0151
geneontology_Biological_Process	transport along microtubule	151	7	1.43	4.88	0.000606	0.0162
geneontology_Biological_Process	microtubule-based transport	151	7	1.43	4.88	0.000606	0.0162
geneontology_Biological_Process	response to metal ion	356	11	3.38	3.25	0.000615	0.0164
geneontology_Biological_Process	positive regulation of amino acid transport	18	3	0.171	17.6	0.000618	0.0164
geneontology_Biological_Process	regulation of blood circulation	248	9	2.35	3.82	0.000623	0.0165
geneontology_Biological_Process	protein localization to cell periphery	301	10	2.86	3.5	0.000623	0.0165
geneontology_Biological_Process	regulation of cation transmembrane transport	303	10	2.88	3.48	0.000656	0.0173
geneontology_Biological_Process	neurotransmitter uptake	42	4	0.399	10	0.000664	0.0175
geneontology_Biological_Process	regulation of metal ion transport	360	11	3.42	3.22	0.000674	0.0177
geneontology_Biological_Process	peripheral nervous system development	74	5	0.703	7.12	0.000692	0.0182
geneontology_Biological_Process	cell differentiation in hindbrain	19	3	0.18	16.6	0.000729	0.0189
geneontology_Biological_Process	regulation of response to food	19	3	0.18	16.6	0.000729	0.0189
geneontology_Biological_Process	response to anesthetic	75	5	0.712	7.02	0.000736	0.0191
geneontology_Biological_Process	regulation of heart contraction	205	8	1.95	4.11	0.000779	0.0201
geneontology_Biological_Process	catecholamine transport	76	5	0.722	6.93	0.000782	0.0202
geneontology_Biological_Process	response to mechanical stimulus	207	8	1.97	4.07	0.00083	0.0212
geneontology_Biological_Process	vesicle organization	313	10	2.97	3.36	0.000841	0.0215
geneontology_Biological_Process	positive regulation of long-term synaptic potentiation	20	3	0.19	15.8	0.000852	0.0217
geneontology_Biological_Process	vesicle docking involved in exocytosis	45	4	0.427	9.36	0.000864	0.0219
geneontology_Biological_Process	central nervous system neuron development	78	5	0.741	6.75	0.00088	0.0222
geneontology_Biological_Process	adult locomotory behavior	78	5	0.741	6.75	0.00088	0.0222
geneontology_Biological_Process	cellular response to inorganic substance	209	8	1.98	4.03	0.000883	0.0222
geneontology_Biological_Process	divalent inorganic cation homeostasis	494	13	4.69	2.77	0.000901	0.0227
geneontology_Biological_Process	cerebellar cortex formation	21	3	0.199	15	0.000987	0.0245
geneontology_Biological_Process	neuron recognition	47	4	0.446	8.96	0.00102	0.0253
geneontology_Biological_Process	organelle fusion	121	6	1.15	5.22	0.00105	0.0259
geneontology_Biological_Process	cellular response to calcium ion	82	5	0.779	6.42	0.0011	0.027
geneontology_Biological_Process	cerebellar cortex development	48	4	0.456	8.78	0.0011	0.027
geneontology_Biological_Process	regulation of glutamate receptor signaling pathway	48	4	0.456	8.78	0.0011	0.027
geneontology_Biological_Process	neuron death	325	10	3.09	3.24	0.00112	0.0273
geneontology_Biological_Process	homophilic cell adhesion via plasma membrane adhesion molecules	168	7	1.6	4.39	0.00113	0.0275
geneontology_Biological_Process	organelle localization by membrane tethering	168	7	1.6	4.39	0.00113	0.0275
geneontology_Biological_Process	intermediate filament organization	22	3	0.209	14.4	0.00113	0.0275
geneontology_Biological_Process	positive regulation of exocytosis	83	5	0.788	6.34	0.00116	0.0282
geneontology_Biological_Process	positive regulation of regulated secretory pathway	50	4	0.475	8.43	0.00129	0.0309
geneontology_Biological_Process	L-alpha-amino acid transmembrane transport	50	4	0.475	8.43	0.00129	0.0309
geneontology_Biological_Process	exploration behavior	23	3	0.218	13.7	0.0013	0.0309
geneontology_Biological_Process	positive regulation of potassium ion transmembrane transporter activity	23	3	0.218	13.7	0.0013	0.0309
geneontology_Biological_Process	response to auditory stimulus	23	3	0.218	13.7	0.0013	0.0309
geneontology_Biological_Process	regulation of cardiac conduction	51	4	0.484	8.26	0.00139	0.0329
geneontology_Biological_Process	negative regulation of neurogenesis	278	9	2.64	3.41	0.00139	0.0329
geneontology_Biological_Process	organic acid transmembrane transport	128	6	1.22	4.94	0.0014	0.0332
geneontology_Biological_Process	carboxylic acid transmembrane transport	128	6	1.22	4.94	0.0014	0.0332
geneontology_Biological_Process	dopamine transport	52	4	0.494	8.1	0.00149	0.035
geneontology_Biological_Process	neuron projection regeneration	52	4	0.494	8.1	0.00149	0.035
geneontology_Biological_Process	monoamine transport	88	5	0.836	5.98	0.00151	0.0354
geneontology_Biological_Process	membrane docking	177	7	1.68	4.17	0.00153	0.0357
geneontology_Biological_Process	response to nerve growth factor	53	4	0.503	7.95	0.0016	0.0372
geneontology_Biological_Process	cerebellar Purkinje cell layer development	25	3	0.237	12.6	0.00166	0.0383
geneontology_Biological_Process	positive regulation of calcium ion-dependent exocytosis	25	3	0.237	12.6	0.00166	0.0383
geneontology_Biological_Process	regulation of response to extracellular stimulus	25	3	0.237	12.6	0.00166	0.0383
geneontology_Biological_Process	regulation of response to nutrient levels	25	3	0.237	12.6	0.00166	0.0383
geneontology_Biological_Process	regulation of anion transport	90	5	0.855	5.85	0.00167	0.0385
geneontology_Biological_Process	receptor clustering	54	4	0.513	7.8	0.00172	0.0394
geneontology_Biological_Process	regulation of organic acid transport	55	4	0.522	7.66	0.00184	0.0417
geneontology_Biological_Process	regulation of neurotransmitter receptor activity	55	4	0.522	7.66	0.00184	0.0417
geneontology_Biological_Process	cellular divalent inorganic cation homeostasis	473	12	4.49	2.67	0.00192	0.0435
geneontology_Biological_Process	regulation of response to drug	93	5	0.883	5.66	0.00193	0.0436
geneontology_Biological_Process	regulation of neuron death	292	9	2.77	3.25	0.00194	0.0438
geneontology_Biological_Process	positive regulation of excitatory postsynaptic potential	27	3	0.256	11.7	0.00208	0.0465
geneontology_Biological_Process	synaptic membrane adhesion	27	3	0.256	11.7	0.00208	0.0465
